food_name,calories_kcal,fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,carbs_g,sugars_g,protein_g,fiber_g,cholesterol_mg,sodium_mg,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_mcg,zinc_mg,nutrient_density_score,calculated_calories,calorie_diff_pct,calorie_consistent,food_category,protein_score,fiber_score,health_score
milkfish cooked,54,2.4,0.0,0.0,0.0,0.0,0.0,7.4,0.0,19.0,0.076,17.7,0.027,0.069,0.08,0.061,0.058,2.3,0.2,0.1,0.0,0.0,0.0,0.0,18.4,0.05,0.1,10.8,0.003,58.9,105.8,0.065,0.3,28.341,51.2,5.18518518518518,True,Fish,37.0,0.0,61.09962
sturgeon raw,30,1.1,0.3,0.5,0.2,0.0,0.0,4.6,0.0,17.0,0.007,21.7,0.016,0.058,0.039,0.039,0.082,2.3,0.2,0.013,0.0,0.008,0.1,0.03,3.7,0.01,0.2,9.9,0.035,59.7,80.4,0.077,0.1,9.612,28.299999999999997,5.666666666666676,True,Other,23.0,0.0,55.999965
orange roughy raw,22,0.2,0.057,0.051,0.086,0.0,0.0,4.6,0.0,17.0,0.063,21.4,0.082,0.086,0.073,0.078,0.005,0.4,0.082,0.038,0.0,0.0,0.3,0.063,2.5,0.015,0.3,4.8,0.091,30.3,47.3,0.042,0.039,7.672,20.2,8.181818181818185,True,Other,23.0,0.0,56.728685
catfish fried,199,11.6,2.9,4.9,2.9,7.0,0.0,15.7,0.6,61.8,0.2,51.2,0.0,0.04,0.015,0.054,0.1,2.0,0.6,0.2,0.0,0.0,0.0,0.0,38.3,0.01,1.2,23.5,0.05,187.9,295.8,0.098,0.7,74.4,195.2,1.909547738693473,True,Fish,78.5,6.0,66.049
cuttlefish raw,22,0.2,0.002,0.088,0.069,0.2,0.0,4.6,0.0,31.7,0.1,22.8,0.048,0.025,0.093,0.01,0.3,0.3,0.1,0.079,1.5,0.0,0.0,0.0,25.5,0.2,1.7,8.5,0.092,109.5,100.2,0.083,0.5,33.734,21.0,4.545454545454546,True,Fish,23.0,0.0,56.8935
bass raw,90,2.9,0.6,1.1,0.8,0.0,0.0,14.9,0.0,53.7,0.055,59.8,0.004,0.091,0.046,0.003,0.046,1.0,0.6,0.052,1.6,0.0,0.0,0.0,63.2,0.093,1.2,23.7,0.7,158.0,281.2,0.057,0.5,83.837,85.7,4.777777777777774,True,Other,74.5,0.0,70.549725
milkfish raw,42,1.9,0.5,0.7,0.5,0.0,0.0,5.8,0.0,14.7,0.098,20.1,0.099,0.091,0.09,0.012,0.027,1.8,0.2,0.1,0.0,0.0,0.0,0.0,14.4,0.021,0.057,8.5,0.088,45.8,82.6,0.042,0.2,22.203,40.3,4.047619047619054,True,Fish,29.0,0.0,57.199510000000004
fish sticks,78,4.5,1.0,0.9,2.2,6.1,0.5,3.1,0.4,7.8,0.1,13.9,0.055,0.006,0.037,0.039,0.3,0.082,0.4,0.0,0.038,0.0,0.0,1.9,0.089,4.5,0.3,0.2,7.0,0.0,53.5,51.8,0.072,14.563,77.3,0.897435897435901,True,Fish,15.5,4.0,52.4495
monkfish cooked,27,0.6,0.0,0.0,0.0,0.0,0.0,5.3,0.0,9.1,0.004,22.2,0.006,0.014,0.011,0.024,0.045,0.7,0.01,0.039,0.3,0.0,0.0,0.0,2.8,0.033,0.1,7.6,0.082,72.4,145.2,0.036,0.1,9.165,26.599999999999998,1.4814814814814894,True,Fish,26.5,0.0,57.949980000000004
yellowfin tuna cooked,37,0.2,0.054,0.095,0.038,0.0,0.0,8.2,0.0,13.3,0.011,19.5,0.098,0.065,0.019,0.059,0.093,6.2,0.021,0.3,0.0,0.009,0.042,0.023,1.1,0.001,0.3,11.9,0.014,94.2,149.1,0.003,0.1,9.861,34.599999999999994,6.486486486486502,True,Fish,41.0,0.0,62.137945
